Timestamp (ns),raw,QUAT W,QUAT X,QUAT Y,QUAT Z,ACCEL X,ACCEL Y,ACCEL Z,GYRO X,GYRO Y,GYRO Z
1599834798689989485,c60639e9410146157ef4e9c51cedf60b68f2daf9,-14842,14825,16641,17941,32500,-5691,7405,-2549,26866,-9479
1599834798691009973,c4e0ee020a5af2fbf89c0643eab0014716c8f5c7,-15136,-4606,2650,-3333,-1892,1603,-5456,327,5832,-2617
1599834798692041978,c4a6ee130944f316f819063ceb83012e179af63c,-15194,-4589,2372,-3306,-2023,1596,-5245,302,6042,-2500
1599834798733492289,c37defbdff1df2fcf9b7062eefc0feb4203df995,-15491,-4163,-227,-3332,-1609,1582,-4160,-332,8253,-1643
1599834798738424971,c375f017fdaef2dffa550620f01efe502135f9fc,-15499,-4073,-594,-3361,-1451,1568,-4066,-432,8501,-1540
1599834798739392333,c470f387f285f17502b1062cf3d9fc741da5fe23,-15248,-3193,-3451,-3723,689,1580,-3111,-908,7589,-477
1599834798778279643,c4a9f3edf17af13902f405f1f4a4fc5c1a5bff70,-15191,-3091,-3718,-3783,756,1521,-2908,-932,6747,-144
1599834798785429034,c679f75ceaf8ef93023f0403f870f8db14710117,-14727,-2212,-5384,-4205,575,1027,-1936,-1829,5233,279
1599834798787290778,c6bef7d7ea47ef49027503daf834f87d13dc01a4,-14658,-2089,-5561,-4279,629,986,-1996,-1923,5084,420
1599834798822989153,c8b2fb5ce6d3ec72013502b8f787f629098e054a,-14158,-1188,-6445,-5006,309,696,-2169,-2519,2446,1354
1599834798829427042,c8e6fbc2e6a2ec0900f30255f8aef5e208cf058e,-14106,-1086,-6494,-5111,243,597,-1874,-2590,2255,1422
1599834798868283385,ca65fed5e64fe84e007b0092f98cf44d046c07cd,-13723,-299,-6577,-6066,123,146,-1652,-2995,1132,1997
1599834798873602228,ca9cff33e651e7ceffca0024f970f43b04e807f9,-13668,-205,-6575,-6194,-54,36,-1680,-3013,1256,2041
1599834798912888298,cd5d0320e57ee35e042fff4cf97cf1de09bb0979,-12963,800,-6786,-7330,1071,-180,-1668,-3618,2491,2425
1599834798919164709,cdbb0396e577e2cf04e7feeaf9f9f224080e0989,-12869,918,-6793,-7473,1255,-278,-1543,-3548,2062,2441
1599834798965538123,cfe505c1e758de3703cffe8bf825f356fd110abd,-12315,1473,-6312,-8649,975,-373,-2011,-3242,-751,2749
1599834799002989429,d02705eae7addda503c6fe87f7aef39dfd310adb,-12249,1514,-6227,-8795,966,-377,-2130,-3171,-719,2779
1599834799009574330,d26506d3ea72d93306ebfe31fa55f4c6f9f70b71,-11675,1747,-5518,-9933,1771,-463,-1451,-2874,-1545,2929
1599834799093081216,d2a406cbeaedd8a6071cfe53faabf4fbf85b0b7a,-11612,1739,-5395,-10074,1820,-429,-1365,-2821,-1957,2938
1599834799098011561,d3fd045ef093d4620477fe23fb01f7fdeaf60b5d,-11267,1118,-3949,-11166,1143,-477,-1279,-2051,-5386,2909
1599834799099826347,d42003d1f16dd3e803dafdbffae3f88aea070b57,-11232,977,-3731,-11288,986,-577,-1309,-1910,-5625,2903
1599834799101755594,98f639f61b00b8e316ff6ed733f2260529d0f4fc,-26378,14838,6912,-18205,5887,28375,13298,9733,10704,-2820
1599834799182950580,78f54bf5680147e2e0fe6bd740f12d05e7d14cfb,30965,19445,26625,18402,-7938,27607,16625,11525,-6191,19707
1599834799183628856,fdf462f45a01b7e2fcfd96d74df034069fd1abfb,-524,25332,23041,-18462,-771,-26921,19952,13318,-24623,-21509
1599834799185561661,f94af3f4ee22027fe9edfb00d797ea480aa1d4a8,-1718,-3084,-4574,639,-5651,-1280,-10345,-5560,2721,-11096
